"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 11 08:55:56 GMT 2024","Tue Jun 11 08:56:26 GMT 2024","29796","Surefire suite","Surefire test","com.qa.catchoftheday.HomePageTest","com.qa.catchoftheday.HomePageTest","TestDealsFromCatch","TestDealsFromCatch",""
"passed","Tue Jun 11 08:56:26 GMT 2024","Tue Jun 11 08:57:03 GMT 2024","37107","Surefire suite","Surefire test","com.qa.catchoftheday.HomePageTest","com.qa.catchoftheday.HomePageTest","TestDealsFromMarketplace","TestDealsFromMarketplace",""
"passed","Tue Jun 11 08:57:03 GMT 2024","Tue Jun 11 08:57:24 GMT 2024","20752","Surefire suite","Surefire test","com.qa.catchoftheday.HomePageTest","com.qa.catchoftheday.HomePageTest","TestEOFYSaleDealsFromMarketplace","TestEOFYSaleDealsFromMarketplace",""
"passed","Tue Jun 11 08:57:24 GMT 2024","Tue Jun 11 08:57:30 GMT 2024","5750","Surefire suite","Surefire test","com.qa.catchoftheday.HomePageTest","com.qa.catchoftheday.HomePageTest","TestEventBanner","TestEventBanner",""
